,Experience (YY.MM),Age in YY.,Stay/Left,New Location,New Promotion,New Job Role Match,Agency,Direct,Employee Referral,Marr.,Single,other status,B1,B2,B3,other group,< =1,> 1 & < =3,Operation,Sales,Support,Female,Male,other
195,7.01,34.03,Stay,5,0,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
196,3.0,25.08,Stay,3,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
197,3.06,27.07,Left,6,0,0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
198,19.08,35.1,Stay,6,1,1,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
199,11.08,34.0,Stay,3,0,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
200,7.04,30.02,Stay,6,0,1,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
201,3.11,27.01,Stay,5,1,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
202,4.11,28.0,Left,5,1,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
203,10.11,36.1,Stay,5,1,0,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
204,3.05,26.04,Stay,7,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
205,6.08,28.07,Stay,7,0,1,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
206,5.04,30.06,Stay,7,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
207,1.0,24.04,Stay,4,0,1,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False
208,5.0,27.07,Left,5,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
209,2.06,29.1,Stay,5,0,1,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,False
210,2.08,28.06,Left,4,1,0,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False
211,3.07,26.09,Left,5,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
212,4.05,27.04,Stay,5,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
213,4.08,29.04,Stay,5,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
214,3.06,26.11,Stay,7,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
215,9.02,33.09,Stay,6,0,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
216,4.0,25.05,Stay,3,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
217,15.11,41.02,Stay,5,0,1,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False
218,3.07,24.03,Left,6,0,0,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
219,3.01,27.11,Stay,6,1,1,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
220,6.06,38.1,Left,5,0,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
221,4.11,29.12,Stay,6,0,1,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
222,7.11,30.11,Stay,7,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
223,8.0,32.12,Stay,5,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
224,2.08,26.0,Left,6,0,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
225,4.03,29.02,Stay,6,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
226,10.0,37.1,Stay,7,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
227,12.0,38.06,Stay,5,0,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
228,5.06,35.05,Stay,5,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
229,4.08,28.02,Left,7,0,0,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
230,15.0,38.09,Left,3,0,1,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
231,6.01,36.06,Stay,5,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
232,3.06,29.05,Left,5,1,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
233,6.02,29.05,Stay,3,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
234,6.01,30.03,Stay,5,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False
235,10.0,36.12,Left,5,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
236,9.0,28.12,Left,5,0,1,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False
237,4.0,26.07,Stay,5,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
238,5.0,33.06,Stay,7,0,1,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False
239,9.01,37.07,Stay,3,1,0,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False
240,2.05,27.0,Left,6,0,0,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
241,3.08,29.01,Stay,7,0,1,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False
242,5.08,32.02,Stay,4,0,1,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False
243,9.0,30.07,Stay,5,0,0,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False
244,1.09,23.08,Left,7,0,0,False,True,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False
245,3.07,26.09,Stay,7,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
246,1.09,26.09,Stay,6,0,1,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
